firm_id,baseline_employees,total_grant_amount,grant_stage1_amount,grant_stage2_total_amount,grant_stage3_amount,post_grant_permanent_employees,post_grant_temporary_employees,total_employees_post_grant
6,,4000000.0,300000.0,1970000.0,950000.0,,,
18,,2000000.0,50000.0,1100000.0,350000.0,2,10,12
29,5 skilled.,4000000.0,300000.0,1970000.0,950000.0,,,
40,Not Applicable,6000000.0,600000.0,2400000.0,1500000.0,3,2,5
67,,4000000.0,300000.0,1970000.0,950000.0,,,
88,6,5400000.0,540000.0,2160000.0,1350000.0,8,3,11
125,,8000000.0,800000.0,4200000.0,1500000.0,8,61,69
142,,4000000.0,300000.0,1970000.0,950000.0,,,
165,5,2400000.0,300000.0,1200000.0,300000.0,8,6,14
223,,6000000.0,200000.0,3300000.0,1000000.0,20,5,25
266,10,4000000.0,300000.0,1970000.0,950000.0,,,
287,,4000000.0,300000.0,1970000.0,950000.0,,,
301,,4000000.0,400000.0,1600000.0,1000000.0,8,2,10
317,,4000000.0,300000.0,1970000.0,950000.0,,,
338,3 currently,4000000.0,300000.0,1970000.0,950000.0,,,
416,4,4200000.0,420000.0,1680000.0,1050000.0,4,2,6
438,5 staff at the moment,4000000.0,300000.0,1970000.0,950000.0,,,
450,,4000000.0,300000.0,1970000.0,950000.0,,,
458,,4000000.0,300000.0,1970000.0,950000.0,,,
585,,4000000.0,300000.0,1970000.0,950000.0,,,
622,,4000000.0,300000.0,1970000.0,950000.0,,,
651,,4000000.0,300000.0,1970000.0,950000.0,,,
668,6 Workers,2600000.0,260000.0,1040000.0,650000.0,6,7,13
683,,4000000.0,300000.0,1970000.0,950000.0,,,
684,,4000000.0,300000.0,1970000.0,950000.0,,,
689,,4000000.0,300000.0,1970000.0,950000.0,,,
767,,4000000.0,300000.0,1970000.0,950000.0,,,
769,,4000000.0,300000.0,1970000.0,950000.0,,,
774,,4000000.0,300000.0,1970000.0,950000.0,,,
805,,4000000.0,300000.0,1970000.0,950000.0,,,
877,13 people,10000000.0,1000000.0,4000000.0,2500000.0,22,15,37
886,,4000000.0,300000.0,1970000.0,950000.0,,,
929,,4000000.0,300000.0,1970000.0,950000.0,,,
